run_order,timestamp,priority,response_code,success,latency_ms
1,2026-09-09 10:00:00+00:00,attack,429,False,7.7
2,2026-09-09 10:00:02+00:00,legitimate,429,False,14.9
3,2026-09-09 10:00:04+00:00,attack,200,True,308.7
4,2026-09-09 10:00:06+00:00,legitimate,200,True,239.2
5,2026-09-09 10:00:08+00:00,legitimate,200,True,228.6
6,2026-09-09 10:00:10+00:00,attack,200,True,179.1
7,2026-09-09 10:00:12+00:00,attack,200,True,290.7
8,2026-09-09 10:00:14+00:00,attack,429,False,8.9
9,2026-09-09 10:00:16+00:00,legitimate,200,True,319.3
10,2026-09-09 10:00:18+00:00,legitimate,200,True,377.7
11,2026-09-09 10:00:20+00:00,legitimate,200,True,283.3
12,2026-09-09 10:00:22+00:00,attack,503,False,8.2
13,2026-09-09 10:00:24+00:00,legitimate,200,True,293.4
14,2026-09-09 10:00:26+00:00,attack,429,False,1.5
15,2026-09-09 10:00:28+00:00,legitimate,200,True,355.7
16,2026-09-09 10:00:30+00:00,legitimate,200,True,117.6
17,2026-09-09 10:00:32+00:00,legitimate,200,True,214.0
18,2026-09-09 10:00:34+00:00,legitimate,200,True,110.4
19,2026-09-09 10:00:36+00:00,attack,503,False,1.9
20,2026-09-09 10:00:38+00:00,legitimate,200,True,422.2
21,2026-09-09 10:00:40+00:00,attack,200,True,350.0
22,2026-09-09 10:00:42+00:00,legitimate,200,True,183.5
23,2026-09-09 10:00:44+00:00,attack,429,False,1.7
24,2026-09-09 10:00:46+00:00,attack,503,False,2.6
25,2026-09-09 10:00:48+00:00,attack,200,True,196.9
26,2026-09-09 10:00:50+00:00,legitimate,200,True,644.3
27,2026-09-09 10:00:52+00:00,legitimate,200,True,291.2
28,2026-09-09 10:00:54+00:00,legitimate,200,True,195.6
29,2026-09-09 10:00:56+00:00,legitimate,200,True,294.7
30,2026-09-09 10:00:58+00:00,legitimate,200,True,131.1
31,2026-09-09 10:01:00+00:00,attack,200,True,217.3
32,2026-09-09 10:01:02+00:00,attack,200,True,254.6
33,2026-09-09 10:01:04+00:00,legitimate,429,False,2.6
34,2026-09-09 10:01:06+00:00,legitimate,200,True,335.7
35,2026-09-09 10:01:08+00:00,legitimate,200,True,280.9
36,2026-09-09 10:01:10+00:00,legitimate,200,True,319.7
37,2026-09-09 10:01:12+00:00,legitimate,200,True,185.8
38,2026-09-09 10:01:14+00:00,legitimate,200,True,350.4
39,2026-09-09 10:01:16+00:00,legitimate,200,True,469.5
40,2026-09-09 10:01:18+00:00,legitimate,200,True,166.0
41,2026-09-09 10:01:20+00:00,legitimate,200,True,171.6
42,2026-09-09 10:01:22+00:00,attack,503,False,4.6
43,2026-09-09 10:01:24+00:00,attack,200,True,226.7
44,2026-09-09 10:01:26+00:00,legitimate,200,True,429.0
45,2026-09-09 10:01:28+00:00,attack,429,False,7.7
46,2026-09-09 10:01:30+00:00,attack,429,False,10.6
