timestamp,priority,prompt_tokens_estimated,output_tokens_estimated,total_estimated,prompt_tokens_actual,completion_tokens_actual,total_actual,signed_error,relative_error_pct
2026-09-11T07:08:42.156766+00:00,legitimate,1,5,6,1,5,6,0,0.00
2026-09-11T07:10:19.505163+00:00,legitimate,1,3,4,1,3,4,0,0.00
2026-09-11T07:11:17.562861+00:00,legitimate,8,30,38,7,30,37,-1,-2.63
2026-09-11T07:11:19.549565+00:00,legitimate,8,30,38,7,30,37,-1,-2.63
2026-09-11T07:11:25.177216+00:00,legitimate,8,30,38,7,30,37,-1,-2.63
2026-09-11T07:11:27.219801+00:00,legitimate,8,30,38,7,30,37,-1,-2.63
2026-09-11T07:11:33.073151+00:00,legitimate,8,30,38,7,30,37,-1,-2.63
2026-09-11T07:11:35.055322+00:00,legitimate,8,30,38,7,30,37,-1,-2.63
2026-09-11T07:11:39.629524+00:00,legitimate,8,30,38,7,30,37,-1,-2.63
2026-09-11T07:11:42.371166+00:00,legitimate,8,30,38,7,30,37,-1,-2.63
2026-09-11T07:11:47.214416+00:00,legitimate,8,30,38,7,30,37,-1,-2.63
2026-09-11T07:11:49.057558+00:00,legitimate,8,30,38,7,30,37,-1,-2.63
2026-09-11T07:11:51.764798+00:00,default,6,200,206,5,200,205,-1,-0.49
2026-09-11T07:11:51.770919+00:00,default,6,200,206,5,200,205,-1,-0.49
2026-09-11T07:11:53.283351+00:00,legitimate,8,30,38,7,30,37,-1,-2.63
2026-09-11T07:11:55.461430+00:00,legitimate,8,30,38,7,30,37,-1,-2.63
2026-09-11T07:12:01.491343+00:00,legitimate,8,30,38,7,30,37,-1,-2.63
2026-09-11T07:12:03.491038+00:00,legitimate,8,30,38,7,30,37,-1,-2.63
2026-09-11T07:12:09.214093+00:00,legitimate,8,30,38,7,30,37,-1,-2.63
2026-09-11T07:12:11.312231+00:00,legitimate,8,30,38,7,30,37,-1,-2.63
2026-09-11T07:12:17.620908+00:00,legitimate,8,30,38,7,30,37,-1,-2.63
2026-09-11T07:12:19.552586+00:00,legitimate,8,30,38,7,30,37,-1,-2.63
2026-09-11T07:12:25.798351+00:00,legitimate,8,30,38,7,30,37,-1,-2.63
2026-09-11T07:12:28.111705+00:00,legitimate,8,30,38,7,30,37,-1,-2.63
2026-09-11T07:12:32.993630+00:00,default,6,200,206,5,200,205,-1,-0.49
2026-09-11T07:12:33.000014+00:00,default,6,200,206,5,200,205,-1,-0.49
2026-09-11T07:12:33.560891+00:00,legitimate,8,30,38,7,30,37,-1,-2.63
2026-09-11T07:12:35.143977+00:00,legitimate,8,30,38,7,30,37,-1,-2.63
2026-09-11T07:12:39.735249+00:00,legitimate,8,30,38,7,30,37,-1,-2.63
2026-09-11T07:12:43.752615+00:00,legitimate,8,30,38,7,30,37,-1,-2.63
2026-09-11T07:12:47.458621+00:00,legitimate,8,30,38,7,30,37,-1,-2.63
2026-09-11T07:12:51.562065+00:00,legitimate,8,30,38,7,30,37,-1,-2.63
2026-09-11T07:12:54.037650+00:00,legitimate,8,30,38,7,30,37,-1,-2.63
2026-09-11T07:12:59.352026+00:00,legitimate,8,30,38,7,30,37,-1,-2.63
2026-09-11T07:13:01.126521+00:00,legitimate,8,30,38,7,30,37,-1,-2.63
2026-09-11T07:13:05.145909+00:00,legitimate,8,30,38,7,30,37,-1,-2.63
2026-09-11T07:13:07.280117+00:00,legitimate,8,30,38,7,30,37,-1,-2.63
2026-09-11T07:13:11.526862+00:00,legitimate,8,30,38,7,30,37,-1,-2.63
2026-09-11T07:13:14.052035+00:00,default,6,200,206,5,200,205,-1,-0.49
2026-09-11T07:13:14.057779+00:00,default,6,200,206,5,200,205,-1,-0.49
2026-09-11T07:13:14.162424+00:00,legitimate,8,30,38,7,30,37,-1,-2.63
